rank,title,name,ticker,url,hq,sector,industry,employees,revenues,revenues_change,profits,profits_change,assets,equity
154,Thermo Fisher Scientific,Thermo Fisher Scientific Inc.,TMO,http://www.thermofisher.com,"Waltham, MA",Technology,"Scientific, Photographic and Control Equipment",54800,18274.00,7.70,2021.80,2.30,45908.00,21539.00
155,Kimberly-Clark,Kimberly-Clark Corporation,KMB,http://www.kimberly-clark.com,"Irving, TX",Household Products,Household and Personal Products,42000,18202.00,-2.10,2166.00,113.80,14602.00,-102.00
156,Molina Healthcare,"Molina Healthcare, Inc.",MOH,http://www.molinahealthcare.com,"Long Beach, CA",Health Care,Health Care: Insurance and Managed Care,21000,17782.00,25.40,52.00,-63.60,7449.00,1649.00
157,PG&E Corp.,PG&E Corporation,PCG,http://www.pgecorp.com,"San Francisco, CA",Energy,Utilities: Gas and Electric,24000,17666.00,4.90,1393.00,59.40,68598.00,17940.00
158,Supervalu,Supervalu Inc.,SVU,http://www.supervalu.com,"Eden Prairie, MN",Food & Drug Stores,Food and Drug Stores,38000,17529.00,-1.60,178.00,-7.30,4370.00,-441.00
159,Cummins,Cummins Inc.,CMI,http://www.cummins.com,"Columbus, IN",Industrials,Industrial Machinery,55400,17509.00,-8.40,1394.00,-0.40,15011.00,6875.00
160,CenturyLink,"CenturyLink, Inc.",CTL,http://www.centurylink.com,"Monroe, LA",Telecommunications,Telecommunications,40000,17470.00,-2.40,626.00,-28.70,47017.00,13399.00
161,AECOM,AECOM,ACM,http://www.aecom.com,"Los Angeles, CA",Engineering & Construction,"Engineering, Construction",87000,17411.00,-3.20,96.10,NA,13727.00,3367.00
162,Xerox,Xerox Corporation,XRX,http://www.xerox.com,"Norwalk, CT",Technology,Computer Peripherals,133600,17126.00,-8.20,-477.00,-200.60,18145.00,4803.00
163,Marriott International,"Marriott International, Inc.",MAR,http://www.marriott.com,"Bethesda, MD","Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",226500,17072.00,17.90,780.00,-9.20,24140.00,5357.00
164,Paccar,PACCAR Inc,PCAR,http://www.paccar.com,"Bellevue, WA",Industrials,Construction and Farm Machinery,23000,17033.00,-10.90,521.70,-67.50,20639.00,6778.00
165,General Mills,"General Mills, Inc.",GIS,http://www.generalmills.com,"Minneapolis, MN","Food, Beverages & Tobacco",Food Consumer Products,39000,16563.00,-6.10,1697.40,39.00,21712.00,4930.00
166,PNC Financial Services Group,"The PNC Financial Services Group, Inc.",PNC,http://www.pnc.com,"Pittsburgh, PA",Financials,Commercial Banks,50683,16423.00,0.90,3903.00,-4.90,366380.00,45699.00
167,American Electric Power,"American Electric Power Company, Inc.",AEP,http://www.aep.com,"Columbus, OH",Energy,Utilities: Gas and Electric,17634,16380.00,-3.10,610.90,-70.20,63468.00,17397.00
168,Icahn Enterprises,Icahn Enterprises L.P.,IEP,http://www.ielp.com,"New York, NY",Financials,Diversified Financials,90980,16348.00,7.00,-1128.00,NA,33335.00,2154.00
169,Nucor,Nucor Corporation,NUE,http://www.nucor.com,"Charlotte, NC",Materials,Metals,23900,16208.00,-1.40,796.30,122.60,15224.00,7880.00
170,NextEra Energy,"NextEra Energy, Inc.",NEE,http://www.nexteraenergy.com,"Juno Beach, FL",Energy,Utilities: Gas and Electric,14700,16155.00,-7.60,2912.00,5.80,89993.00,24341.00
171,Performance Food Group,Performance Food Group Company,PFGC,http://www.pfgc.com,"Richmond, VA",Wholesalers,Wholesalers: Food and Grocery,13000,16105.00,5.50,68.30,20.90,3455.00,803.00
172,PBF Energy,PBF Energy Inc.,PBF,http://www.pbfenergy.com,"Parsippany, NJ",Energy,Petroleum Refining,3165,15920.00,21.30,170.80,16.70,7622.00,2025.00
173,Halliburton,Halliburton Company,HAL,http://www.halliburton.com,"Houston, TX",Energy,"Oil and Gas Equipment, Services",50000,15887.00,-32.80,-5763.00,NA,27000.00,9409.00
174,CarMax,"CarMax, Inc.",KMX,http://www.carmax.com,"Richmond, VA",Retailing,"Automotive Retailing, Services",22429,15833.00,6.40,623.40,4.40,14482.00,2905.00
175,Freeport-McMoRan,Freeport-McMoRan Inc.,FCX,http://www.fcx.com,"Phoenix, AZ",Energy,"Mining, Crude-Oil Production",30000,15789.00,-0.60,-4154.00,NA,37317.00,6051.00
176,Whole Foods Market,"Whole Foods Market, Inc.",WFM,http://www.wholefoodsmarket.com,"Austin, TX",Food & Drug Stores,Food and Drug Stores,73515,15724.00,2.20,507.00,-5.40,6341.00,3224.00
177,Bank of New York Mellon,The Bank of New York Mellon Corporation,BK,http://www.bnymellon.com,"New York, NY",Financials,Commercial Banks,52000,15683.00,1.00,3547.00,12.30,333469.00,38811.00
178,Gap,"The Gap, Inc.",GPS,http://www.gapinc.com,"San Francisco, CA",Retailing,Specialty Retailers: Apparel,135000,15516.00,-1.80,676.00,-26.50,7610.00,2904.00
179,Omnicom Group,Omnicom Group Inc.,OMC,http://www.omnicomgroup.com,"New York, NY",Business Services,"Advertising, Marketing",78500,15417.00,1.90,1148.60,5.00,23165.00,2162.00
180,Genuine Parts,Genuine Parts Company,GPC,http://www.genpt.com,"Atlanta, GA",Wholesalers,Wholesalers: Diversified,40000,15340.00,0.40,687.20,-2.60,8859.00,3194.00
181,DaVita,DaVita Inc.,DVA,http://www.davita.com,"Denver, CO",Health Care,Health Care: Medical Facilities,70300,15197.00,6.90,879.90,226.20,18741.00,4648.00
