tag,date,question_count,question_pct,unanswered_count,unanswered_pct
amazon-glacier,9/23/2018,192.00,1.16e-5,59.00,1.23e-5
amazon-ecs,9/23/2018,1072.00,6.5e-5,508.00,1.06025e-4
actionscript,9/23/2018,9100.00,5.51787e-4,2443.00,5.0988e-4
amazon,9/23/2018,3637.00,2.20533e-4,1410.00,2.94282e-4
amazon-data-pipeline,9/23/2018,399.00,2.42e-5,196.00,4.09e-5
actionscript-3,9/23/2018,41148.00,2.50E-03,11029.00,2.30E-03
applepayjs,9/23/2018,30.00,1.82e-6,19.00,3.97e-6
paypal,9/23/2018,18040.00,1.09E-03,8393.00,1.75E-03
amazon-mws,9/23/2018,706.00,4.28e-5,278.00,5.8e-5
mongodb,9/23/2018,104059.00,6.31E-03,36490.00,7.62E-03
amazon-sns,9/23/2018,1397.00,8.47e-5,598.00,1.24809e-4
excel,9/23/2018,177471.00,1.08E-02,61755.00,1.29E-02
amazon-cognito,9/23/2018,2824.00,1.71236e-4,1196.00,2.49618e-4
ios9,9/23/2018,4184.00,2.53701e-4,1580.00,3.29763e-4
amazon-sqs,9/23/2018,1582.00,9.59e-5,558.00,1.1646e-4
amazon-redshift,9/23/2018,3493.00,2.11801e-4,1262.00,2.63393e-4
azure,9/23/2018,61179.00,3.71E-03,21073.00,4.40E-03
amazon-swf,9/23/2018,232.00,1.41e-5,77.00,1.61e-5
amazon-elb,9/23/2018,1450.00,8.79e-5,561.00,1.17087e-4
osx,9/23/2018,87450.00,5.30E-03,87450.00,1.83E-02
cognos,9/23/2018,848.00,5.14e-5,379.00,7.91e-5
dropbox,9/23/2018,3070.00,1.86152e-4,1169.00,2.43982e-4
amazon-ebs,9/23/2018,338.00,2.05e-5,54.00,1.13e-5
amazon-rds-aurora,9/23/2018,323.00,1.96e-5,149.00,3.11e-5
amazon-emr,9/23/2018,3045.00,1.84636e-4,1241.00,2.5901e-4
sql-server,9/23/2018,242350.00,1.47E-02,60794.00,1.27E-02
stripe-payments,9/23/2018,4958.00,3.00632e-4,1795.00,3.74633e-4
amazon-elasticache,9/23/2018,434.00,2.63e-5,179.00,3.74e-5
amazon-s3,9/23/2018,25422.00,1.54E-03,10014.00,2.09E-03
amazon-ec2,9/23/2018,22737.00,1.38E-03,8489.00,1.77E-03
amazon-route53,9/23/2018,1096.00,6.65e-5,388.00,8.1e-5
google-spreadsheet,9/23/2018,15660.00,9.49557e-4,5970.00,1.25E-03
amazon-data-pipeline,9/22/2018,399.00,2.42e-5,196.00,4.09e-5
applepayjs,9/22/2018,30.00,1.82e-6,19.00,3.97e-6
actionscript-3,9/22/2018,41148.00,2.50E-03,11029.00,2.30E-03
applepay,9/22/2018,357.00,2.17e-5,174.00,3.63e-5
amazon,9/22/2018,3636.00,2.2052e-4,1409.00,2.94177e-4
osx,9/22/2018,87448.00,5.30E-03,87448.00,1.83E-02
amazon-lambda,9/22/2018,8000.00,4.85192e-4,8000.00,1.67E-03
amazon-vpc,9/22/2018,718.00,4.35e-5,214.00,4.47e-5
cognos,9/22/2018,848.00,5.14e-5,379.00,7.91e-5
dropbox,9/22/2018,3070.00,1.86192e-4,1169.00,2.44068e-4
amazon-ebs,9/22/2018,338.00,2.05e-5,54.00,1.13e-5
amazon-route53,9/22/2018,1096.00,6.65e-5,389.00,8.12e-5
amazon-kinesis,9/22/2018,763.00,4.63e-5,377.00,7.87e-5
amazon-cloudformation,9/22/2018,2513.00,1.52411e-4,889.00,1.85609e-4
ios8,9/22/2018,9400.00,5.70102e-4,3213.00,6.70825e-4
amazon-s3,9/22/2018,25416.00,1.54E-03,10013.00,2.09E-03
amazon-ecs,9/22/2018,1072.00,6.5e-5,509.00,1.06271e-4
amazon-glacier,9/22/2018,192.00,1.16e-5,59.00,1.23e-5
android,9/22/2018,1137755.00,6.90E-02,424469.00,8.86E-02
amazon-cloudsearch,9/22/2018,318.00,1.93e-5,134.00,2.8e-5
amazon-cloudfront,9/22/2018,2262.00,1.37188e-4,885.00,1.84774e-4
windows,9/22/2018,124675.00,7.56E-03,38923.00,8.13E-03
amazon-ec2,9/22/2018,22735.00,1.38E-03,8491.00,1.77E-03
android-pay,9/22/2018,490.00,2.97e-5,221.00,4.61e-5
ios,9/22/2018,577106.00,3.50E-02,189082.00,3.95E-02
amazon-rds-aurora,9/22/2018,323.00,1.96e-5,149.00,3.11e-5
amazon-rds,9/22/2018,2533.00,1.53624e-4,1029.00,2.14839e-4
amazon-elastic-beanstalk,9/22/2018,5485.00,3.3266e-4,2216.00,4.62666e-4
citrix,9/22/2018,597.00,3.62e-5,292.00,6.1e-5
